image_id,age,max_intensity,mean_intensity,median_intensity,minimum_intensity,sigma_intensity,sum_intensity,variance_intensity,flatness,elongation,sphericity,solidity,bbox_width,bbox_height,bbox_depth,equivalent_ellipsoid_diameter_depth,equivalent_ellipsoid_diameter_width,equivalent_ellipsoid_diameter_height,equivalent_spherical_perimeter,equivalent_spherical_radius,feret_diamter,perimeter_2d,major_axis_length_2d,minor_axis_length_2d,surface_area,bbox_volume,convex_volume_rescaled,volume,label,genotype,summed_volume
21,8.0,808.5,334.69277059140217,292.38350768008473,152.26271186440678,142.8249669593254,75415.2627118644,27926.60913479704,1.3908711082766767,1.562938184891438,0.8289858572425771,0.7875218670578794,2.570313559322034,2.449872881355932,2.3266949152542376,1.5450204356679709,2.1144270763663715,3.282454729329796,49.99974860887985,1.0890441992073354,3.208864454968282,8.050043416972143,3.126834622440764,1.724067525477193,22.943905802016484,19.078930692677968,9.266737846466102,6.753361169627119,118,wt,798.750022701
22,8.0,698.0,306.72736705290606,277.22240973907765,159.2135922330097,111.88204276495684,77882.01941747573,17498.297260741114,1.4143115511698172,1.6652925974841863,0.8840924477419007,0.7782257271358772,3.0042135922330098,2.1449708737864075,2.2359126213592235,1.4409158009296117,2.016572181487901,3.4420793617202725,50.25287363967792,1.0620085115007143,3.321671406754997,8.55993186398795,3.359709033783826,1.6695002990016032,25.17575296260771,25.013929143223304,11.380853552058252,7.394315849194176,103,wt,763.3331440840001
23,14.0,477.50877192982455,247.85519333839312,229.94976699561403,144.66666666666666,74.73961346469386,50009.24561403509,9162.062690104733,1.5203211963466838,1.569489340495548,0.9866716806302314,0.8281485933264324,2.4763333333333337,1.819,1.9436666666666669,1.214292335776693,1.8142597159004723,2.9675319852699205,38.62587350152515,0.9225393641624744,2.7903347230820668,6.880246403209874,2.831658529850534,1.2710055536897975,18.09846443435399,17.290166959333334,7.288876032333333,5.239193722,57,wt,299.71238669800005
24,14.0,772.7198067632851,318.30579980925563,282.7086163949276,156.11111111111111,124.01669679881442,158079.96618357487,22046.628707987435,1.476804959565582,1.912555205394893,0.779567390353059,0.7557146937141537,3.4094444444444445,3.713719806763285,2.5699565217391305,1.5861415327487862,2.316969372117827,4.659339143427143,73.48931886938429,1.260603519965835,4.6463388906625385,12.094302016455604,4.785163885917068,1.8814712356345995,42.52465845128452,67.32702114971498,23.49957602890821,13.499981582169085,207,wt,3550.483109387
25,14.0,786.59375,327.48811752648976,291.8404296875,162.48125,125.20852040955154,165463.0,23833.25765813642,1.5070649483440095,1.890908949424474,0.8117954189721068,0.7483176043837366,3.657975,3.52271875,2.60015,1.6025517687335538,2.391889245728116,4.659885344230964,75.57869091480691,1.282609533469166,4.647005710500597,12.405294122683411,4.746817208803016,1.984197794145828,43.73928894199226,65.259221415525,24.396702851325003,13.878420649781251,160,wt,2582.9047690160005
26,14.0,663.0150943396227,295.4325736980289,266.2916273584906,154.3924528301887,105.61798051274674,112255.8,15959.697355316272,1.4418860470323631,1.802227404166299,0.8629013230611484,0.7667198137652989,2.3841056603773585,3.4518339622641507,2.709543396226416,1.5159573357940694,2.1673349694989645,4.060465489925182,61.99494642999335,1.1633735494354205,3.974886630490311,9.990960708532905,3.933193432561492,1.738719637908347,34.723000451120974,46.353174309581135,18.30756906310566,10.435145238818867,265,wt,3239.0100275060004
27,20.0,348.3125,180.4535314095446,169.16726345486111,102.15972222222224,50.56552727735084,74690.8125,3559.646656981852,1.5360777211662522,2.0756066821035715,0.7587683145446076,0.7305321766334498,2.810548611111111,4.304423611111111,2.4830625,1.469807967186833,2.1951817852627,4.803222170886986,67.68505191796666,1.216255588956794,4.760488653572409,12.207497630721,4.95430078704323,1.736231295048659,41.605552285182895,60.0266762039514,21.93359354936805,11.779416442444443,144,wt,1892.090295516
28,20.0,474.5928571428572,232.99225524176936,215.2828125,127.02857142857142,73.59678528709041,96330.15,8414.91454830719,1.5566333387919375,2.3013123531579445,0.8319895305723084,0.7438503382054673,2.1687142857142856,4.600442857142857,2.4409571428571426,1.3883225671155948,2.142881143365074,5.094133325184308,66.02306218738624,1.2046200554766886,4.80323294918482,11.590749402965733,5.125835175949905,1.5322421164108644,38.19187424892452,42.97443709747143,18.61636690224286,11.265812061914286,140,wt,1579.606265625
29,20.0,423.0111111111111,221.60410298714413,207.5810763888889,130.85555555555555,60.2689961826108,86205.6888888889,5826.318879890091,1.449879893347406,1.7723220074567645,0.8751362313272433,0.7628884987076782,2.4278833333333334,3.4004722222222226,2.481716666666667,1.5090988493726665,2.140704319400033,3.9248082552613015,61.23627578083954,1.1432593499040111,3.844238718749294,10.28197818533685,3.85329149024052,1.7889288269238175,34.3267848061111,41.84369977168333,18.273821343722226,10.52265829593889,180,wt,2353.554363814
30,20.0,442.4791666666667,237.2841252108543,223.26475694444449,138.15972222222223,62.114278896856376,120144.44444444444,5438.725853843594,1.481695352792695,2.0053682903530894,0.78800349707106,0.7303851344292932,3.5395416666666666,3.853569444444444,2.705125,1.6032102652278055,2.356013048512569,4.962263009249083,77.35523162115321,1.3001883182785643,4.885790632760874,12.904291507969834,5.073111425244354,1.95828791158574,46.83761614341056,68.13555571656946,26.208125112020834,14.329485994520834,144,wt,2798.809565685
31,245.0,481.5,242.4243843077253,224.61352163461527,136.85,71.99974135625048,105107.07307692309,7834.492694771908,1.5351227080357526,1.9021414647146169,0.8518147351363524,0.764062310990654,2.247334615384616,4.125703846153846,2.561638461538461,1.5204090125569458,2.280943509791237,4.515224755445423,67.83451468804192,1.220647517914862,4.378483997634209,11.123760646573269,4.483501904400876,1.7384047239862273,37.229214524325,42.82997892212308,20.10399726604231,11.840404545326924,260,wt,3890.498623417001
32,245.0,508.6438356164384,263.27405568354624,245.6884631849315,152.08219178082192,74.44350290543292,128328.3904109589,8512.99301940525,1.4477664723277937,2.120751515662759,0.8107307102717046,0.7423770182950986,2.7455000000000003,4.362712328767123,2.654794520547945,1.5325408857158114,2.1907048534898106,4.95560193505068,72.8887014444853,1.2371519276330811,4.87096859150089,12.560046160648554,4.975792820509322,1.8317078452981497,46.46757201644565,75.69669413415754,27.325832386280823,13.863605529828767,146,wt,4116.142219249001
33,245.0,601.9021739130435,282.9430737008884,258.4311098845109,150.66304347826087,93.42834284718732,130157.03804347826,13049.138253162946,1.4796725997171245,1.7700990286315006,0.8232785882299198,0.7608982075840602,2.7033695652173915,3.5933750000000004,2.750766304347826,1.6183352263993518,2.363705240808971,4.276181730200167,70.41994627797497,1.2423821886891202,4.218454334332558,10.76962843856342,4.226269901345464,1.849957745574506,38.74759106229488,48.50645763343479,21.28906332000544,12.4852079235,184,wt,5143.366492210001
34,30.0,656.0,299.0543258808517,272.2890956038136,156.4322033898305,102.42312501669376,146261.7372881356,15516.885512373989,1.419933004912993,1.997375436664636,0.8493802895666748,0.7559448170600886,2.6387457627118645,4.327652542372881,2.5456779661016946,1.6361740445539872,2.291990653934139,4.744045815424993,74.83306996633326,1.2700340931646463,4.7410117918287895,12.269832766452383,4.768573139099545,1.9697274511631464,43.44112860463717,55.51304004742373,24.01658354377966,13.941658446381355,118,wt,4698.111290339
35,30.0,588.993288590604,293.71806612647003,272.2032822986577,164.38255033557047,87.82903111474903,145975.37583892618,12315.679162808894,1.4707661541885155,2.148867514787295,0.7855908043859985,0.7331889474556539,2.688053691275168,4.506825503355705,2.3845637583892616,1.4857511236386562,2.145868714770532,4.911410714378716,71.47705318414826,1.2165790565017411,4.826406496671879,12.7029742476063,5.03754560479948,1.850341435250384,43.95712687400116,64.60636272497317,25.63759630102685,13.640334760429532,149,wt,3680.962799211
36,30.0,733.5753424657535,318.3932331819689,287.4674657534247,166.57077625570776,113.5778014602408,181398.2191780822,21991.54971377957,1.406650701482551,2.2880961728867955,0.8412626693102002,0.7388702035903666,2.81703196347032,4.529374429223744,2.5338538812785387,1.5366863570359657,2.1246146385699536,5.156109750657305,74.76047004478951,1.2355563876590918,5.024259668115148,12.827737885571038,5.30307002463529,1.8495105033642936,47.13209634578875,76.64663135481736,28.608597696077627,14.708601115356164,219,wt,5779.926755840001
37,70.0,391.8258928571428,205.3113567753556,193.074951171875,118.57589285714286,55.07524854652951,71492.19196428571,4392.766032964738,1.5000270872713355,1.913142292159272,0.7744681217701357,0.7326536060215595,2.7080089285714286,3.8183214285714286,2.464316964285714,1.486651004714703,2.1936664489854727,4.307527121524481,62.19409974802407,1.175526488464999,4.280865888212582,11.352870026011614,4.454040368422109,1.8711360309830776,37.63995379674828,47.601810911339285,19.64037299070536,10.240361762008927,224,wt,2705.768650498
38,70.0,580.6962962962963,285.925555165419,264.20225694444446,158.25925925925927,86.65396540895078,140262.7925925926,12436.322833060509,1.4428618712608077,1.891391129764692,0.8007754751426991,0.7514645670023254,2.96202962962963,3.7109111111111113,2.646207407407408,1.582215687752904,2.236884129904278,4.423226066563899,70.59865241936537,1.2213669282390316,4.344652141728021,11.327425194378517,4.505604881436063,1.8324149321538004,41.87355951069386,69.00905848014816,25.19906482901482,13.06044982202963,135,wt,6007.861833828
39,70.0,604.4761904761905,280.790746022888,258.2333705357143,146.75238095238095,91.65326026325911,163234.65714285715,13121.869513472297,1.438758019615124,2.092055949955582,0.8153696269952125,0.7352702306253568,3.279219047619048,4.119019047619048,2.8208666666666664,1.6330899978319415,2.2952396216802846,5.073691114158616,79.47736267806543,1.2943365982390571,4.8837548844989085,12.222463005777076,5.016303353413838,1.8949263248675696,48.15087132408004,80.50804828588572,28.58319100527619,15.54003606101905,105,wt,7004.18479595
